@relation training

@attribute 'preferred position' {top,jungle,mid,adc,support}
@attribute 'current rank(%of top)' numeric
@attribute 'recent P/kill' numeric
@attribute 'highest champ gold' numeric
@attribute 'highest champ cs' numeric
@attribute 'avg turrent' numeric
@attribute 'avg dmg' numeric
@attribute 'number of seasons' numeric
@attribute 'number of recent teammates' numeric
@attribute '# of games played with most played champion' numeric
@attribute 'overall winrate' {high,medium,low}

@data
mid,37,32.37,13466,163.8,1.93,144761,2,7,2,high
support,58,55,9659,39.8,0.13,29023,1,3,2,low
top,80,26,12007,156.8,0.46,129408,1,12,1,low
support,49,48,10080,44,0.3,42516,2,6,6,medium
mid,15.72,45,13340,160.1,1.19,117351,4,7,5,high
support,35.87,45,11637,56,0.5,54456,5,11,4,high
adc,55,51,12294,170.2,1.2,126416,1,4,12,low
jungle,21.93,48,12356,65.5,0.79,151866,5,4,7,medium
support,25.9,52,9386,9.2,0.3,18017,5,3,13,medium
support,13,54,11641,54,0.49,82204,4,5,14,high
top,24.86,41,12078,145.3,1.27,120332,3,5,28,high
adc,22.47,61,13065,191,1.81,147064,2,13,31,high
adc,6.9178,44,13423,186.1,1.91,140036,5,0,2,medium
jungle,14.59,51,12601,150.4,1.5,125730,5,4,5,high
jungle,23.16,49,10916,26.1,0.48,128521,1,0,4,high
jungle,21.01,49,10101,141.5,0.75,100085,2,9,6,low
jungle,15.29,50,12139,61.6,1.18,152383,4,0,2,medium
adc,31.98,43,12760,191.7,1.76,136150,5,2,8,medium
mid,24.99,42,12464,213.8,0.87,150258,4,13,9,medium
adc,52,56,12871,174.5,0.68,128238,5,2,3,low
top,59,36,13243,156.1,2.07,183791,5,0,10,medium
adc,53,45,13290,180.5,1.62,152789,5,0,2,medium
support,42.5,50,10044,25.6,0.38,31153,5,2,14,medium
jungle,49.1,46,13291,47.3,1.17,168614,3,0,6,high
adc,36.33,53,13660,49.6,0.72,167791,3,0,9,high
adc,32.05,46,13504,205.1,1.61,164908,5,0,19,medium
adc,19.35,49,14333,188.7,1.73,163960,4,0,11,medium
jungle,31.36,57,15230,225.7,1.34,244125,2,6,7,medium
adc,19.72,52,12814,168.5,1.13,142005,4,7,6,medium
top,35.02,55,13934,193,1.6,142809,5,20,7,low
top,35.98,41,11244,164.8,0.91,112748,5,2,28,medium
mid,22.03,45,12890,198.2,1.62,166324,4,0,10,medium
adc,24.69,51,14500,224.6,1.53,179009,5,11,4,medium
adc,18.45,51,14271,221,2.16,185064,4,8,20,high
support,32.52,58,12065,33.9,0.39,57424,4,9,3,high
jungle,23,53,11832,42.8,0.76,131341,2,13,1,high
adc,25.7,51,11830,168.6,0.57,104514,5,10,6,low
support,14.03,56,9288,15.1,0.3,19741,5,3,19,medium
mid,30.2,47,9662,164.1,0.71,105910,5,2,2,low
support,17.56,55,9239,23.5,0.21,19158,4,5,11,medium
support,29.27,55,9493,11.2,0.22,17225,5,2,7,high
support,29.07,53,8898,31.7,0.25,23399,2,4,6,high
adc,33.54,45,12083,184.2,1.17,135379,4,4,5,medium
top,34.34,43,12302,120.1,1.42,111244,5,3,3,low
support,39.24,53,11087,36.5,0.34,58470,2,0,4,high
adc,52,52,13316,175.9,1.67,148586,5,10,3,low
adc,27.65,51,12705,162.7,1.09,120219,5,7,3,high
jungle,38.36,60,12634,49.5,0.46,136048,5,13,6,low
mid,43.1,54,12746,157.3,0.6,129361,5,2,10,high
support,38.61,57,9774,49.7,0.31,32062,5,8,8,medium
support,13.6,55,11166,47.6,0.2,36894,1,2,4,high
mid,11.4,47,12367,177.2,0.83,122895,3,4,5,high
jungle,6.15,45,11744,53.4,1.41,147364,3,0,6,high
mid,2.92,55,13127,191.3,0.7,167614,3,3,99,high
adc,16.6,56,11226,34.0,0.33,43777,3,14,3,medium
support,7.36,46,9291,38.8,0.22,24401,2,8,23,high
top,10.5,39,12786,188.6,1.66,145154,5,5,15,medium
support,21.1,53,11267,38.9,0.44,61726,3,15,3,medium
top,20.9,47,128117,163.7,0.5,110296,5,2,5,medium
mid,13.8,54,13590,194.3,1.16,150383,5,11,6,medium
mid,10.1,53,13216,170.8,1.07,131522,6,3,2,high
adc,12.5,51,12803,164.8,1.29,136124,3,2,27,medium
jungle,8.3,48,12659,44.9,0.54,154895,2,2,15,medium
support,3.35,58,11958,173.4,1.12,133082,5,8,4,medium
support,8.38,42,12020,77.0,0.53,85448,5,2,6,medium
adc,10.5,50,9500,30.4,0.14,12550,5,2,4,medium
top,10.6,45,13017,154.9,1.20,132729,4,0,10,medium
top,13.9,48,12946,179.3,1.11,141678,3,14,11,medium
jungle,7.86,52,12841,56.8,1.24,165477,5,8,6,medium
jungle,15.2,51,9417,11.2,0.38,15811,3,6,4,medium
jungle,8.19,43,12213,45.1,0.72,131707,5,0,12,high
adc,10.8,43,13063,222.5,2.16,168363,5,9,3,high
top,13.1,46,12480,176.5,1.1,150075,5,4,5,medium
jungle,10.2,52,11251,27.6,0.33,133434,5,14,10,high
mid,12.7,51,13849,209.8,0.9,176134,5,9,42,low
mid,12.3,48,12588,201.4,1.5,155067,5,5,9,medium
support,11.6,62,10597,21.8,0.33,34874,3,6,32,medium
adc,4.88,55,13002,62.2,0.98,159795,6,13,7,medium
adc,10.5,50,9633,20.4,0.23,27598,3,7,20,medium
adc,28.6,51,13669,209.5,1.80,137845,3,15,3,high
adc,53.0,60,7702,9.0,0.5,16864,5,16,3,high
jungle,1.39,45,13311,171.0,0.82,115017,3,11,9,high
support,27.8,57,11640,17.3,0.27,23264,3,8,5,medium
jungle,0.18,59,13397,78.7,1.35,182588,2,8,3,high
support,37.8,54,10164,35.7,0.48,41115,3,10,2,medium
top,13.4,51,14804,224.2,1.33,248800,3,9,4,medium
support,17.5,56,10511,11.9,0.33,18457,3,4,3,high
mid,25.8,46,12985,177.4,0.98,139718,3,12,61,medium
adc,0.39,40,13532,45.2,0.76,178221,3,4,3,medium
mid,7.05,62,13050,183.4,1.00,162289,1,7,0,high
adc,20.8,56,10049,25.1,0.22,44903,3,13,10,high
jungle,9.2,55,14428,184.4,1.82,164025,5,15,1,medium
support,10.6,50,11490,83.3,0.29,67632,3,9,2,medium
top,8.22,49,12475,181.2,1.69,143674,5,16,6,high
support,3.28,56,9945,34.3,0.3,21730,5,13,5,high
mid,3.16,57,13354,205.9,1.13,147344,5,12,0,low
adc,11.8,51,13859,203.2,0.93,161836,5,0,8,medium
mid,12.1,45,13029,146.4,1.74,151232,3,10,14,medium
mid,21.4,56,12400,146.4,1.00,110123,1,10,7,high
adc,12.2,51,14278,194.6,2.05,166489,5,12,8,medium
support,17.4,61,10006,20.6,0.5,23922,5,5,8,high
top,14.6,44,12759,182.4,1.81,146333,4,0,7,medium
jungle,8.72,58,13324,44.4,0.76,166710,4,11,17,high
support,13.4,53,12317,162.4,0.79,138929,1,2,17,medium
mid,17.4,49,10095,40.9,0.55,41398,5,12,8,medium
mid,20.2,57,14376,211.1,1.80,160815,3,0,8,medium
top,14.5,46,14116,187.1,1.82,148471,3,7,9,high
adc,20.7,51,13972,182.1,2.55,152648,3,4,5,high
jungle,12.6,53,16525,241.3,1.52,280019,3,18,6,high
top,14.7,54,10652,66.4,0.38,57699,3,0,12,medium
adc,11.6,50,13671,196.4,1.88,173326,5,16,6,high
support,17.3,51,11992,50.0,0.24,64220,5,2,5,medium
top,25.1,55,12074,174.6,1.41,141604,5,12,2,low
top,15.7,46,11470,192.3,1.00,129458,2,3,1,low
jungle,5.61,53,12703,89.3,1.59,159981,5,17,23,medium
mid,6.78,48,11465,166.5,0.56,133690,5,2,6,medium
adc,31.5,50,14059,205.4,2.00,184520,2,8,8,medium
support,32.1,47,11998,70.1,0.61,84303,2,0,8,medium
adc,28.2,48,11679,35.8,0.51,113003,2,2,17,medium
top,28.9,39,12272,169.4,1.59,138692,5,3,0,high
adc,35.7,43,11548,167.0,0.00,121351,5,9,2,low
adc,13.0,48,13795,235.1,1.91,186679,3,2,6,medium
support,10.9,49,12261,48.5,0.76,139747,5,2,4,medium
mid,31.3,64,12545,204.3,1.22,151708,3,12,1,low
top,2.10,47,13355,209.8,1.36,137945,3,17,24,high
top,7.26,51,12412,154.9,1.78,118384,5,15,5,medium
support,17.1,52,10001,24.2,0.39,33579,3,9,2,high
support,3.37,51,12659,191.2,1.71,152096,5,7,13,medium
support,25.9,50,12887,145.8,0.5,102821,5,0,4,medium
support,14.4,53,8846,13.7,0.14,16604,5,9,0,medium
mid,35.2,48,12260,153.1,0.56,118434,5,15,0,low
jungle,4.23,52,13430,194.7,1.18,148947,5,14,14,high
jungle,15.3,41,13018,68.1,1.46,144337,5,9,1,medium
jungle,15.1,54,13612,51.8,0.86,170206,4,11,4,medium
jungle,16.5,50,13165,72.7,1.23,172208,5,16,6,high
top,35.9,50,13590,177.6,0.78,145094,1,4,11,high
top,67.0,42,11900,40.0,0.2,133548,4,8,1,low
support,12.2,47,10988,90.4,0.47,74341,1,11,19,medium
top,24.9,47,13115,220.1,1.36,174223,4,10,7,medium
jungle,36.6,54,11383,152.1,0.58,177677,3,5,10,low
top,5.83,41,13054,189.4,1.24,139446,2,2,6,medium
support,11.6,58,9628,33.4,0.22,25774,3,13,1,medium
support,14.3,46,9762,42.9,0.15,31277,1,6,22,medium
support,17.6,53,8752,8.8,0.26,10147,5,5,5,low
top,1.156,38,12828,224.3,2.43,156266,5,6,7,high
jungle,10.7,50,14426,57.6,0.63,191268,5,9,0,low
mid,14.34,49,13336,206.6,1.5,147621,5,7,12,high
mid,32.0,52,13963,212.3,0.71,152605,4,18,1,low
adc,16.7,57,9222,18.3,0.00,37509,5,18,0,low
adc,18.7,45,13137,55.8,0.74,151913,5,0,0,medium
top,21.72,43,12300,169.7,0.69,120143,4,2,24,medium
mid,35.07,50,13237,152.4,0.7,122235,5,6,4,high
adc,40.6,54,12216,184.9,1.44,153049,5,9,6,high
support,31.59,51,9285,35,0.3,22035,2,2,7,medium
top,34.09,46,12687,206.2,1.1.4,149280,2,2,6,medium
